Living Area (feet^2),#Bedrooms,Price (1000$s),Price 
2104,3,400,399900
1600,3,330,329900
2400,3,369,369000
1416,2,232,232000
3000,4,540,539900
1985,4,300,299900
1534,3,315,314900
1427,3,199,198999
1380,3,212,212000
1494,3,243,242500
1940,4,240,239999
2000,3,347,347000
1890,3,330,329999
4478,5,700,699900
1268,3,260,259900
2300,4,450,449900
1320,2,300,299900
1236,3,200,199900
2609,4,500,499998
3031,4,599,599000
1767,3,253,252900
1888,2,255,255000
1604,3,243,242900
1962,4,260,259900
3890,3,574,573900
1100,3,250,249900
1458,3,465,464500
2526,3,469,469000
2200,3,475,475000
2637,3,300,299900
1839,2,350,349900
1000,1,170,169900
2040,4,315,314900
3137,3,580,579900
1811,4,286,285900
1437,3,250,249900
1239,3,230,229900
2132,4,345,345000
4215,4,549,549000
2162,4,287,287000
1664,2,369,368500
2238,3,330,329900
2567,4,314,314000
1200,3,299,299000
852,2,180,179900
1852,4,300,299900
1203,3,240,239500
